CLIENTNUM,churn_probability,risk_tier,top_driver,Total_Trans_Ct,Total_Trans_Amt,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Credit_Limit,Avg_Utilization_Ratio,Card_Category,Income_Category,Gender,Customer_Age
811604133,0.061834276,Stable,Total_Trans_Amt,23,1126,3,2,1560,2492.0,0.626,0,4,0,47
789124683,0.11235055,Stable,Total_Amt_Chng_Q4_Q1,21,1110,2,3,0,12217.0,0.0,0,3,1,54
771071958,0.016492367,Stable,Total_Relationship_Count,22,1051,1,2,1669,7768.0,0.215,0,4,0,41
720466383,0.002237821,Stable,Total_Trans_Amt,23,1197,1,2,1374,14784.0,0.093,0,1,1,59
804424383,0.007856268,Stable,Total_Ct_Chng_Q4_Q1,40,1904,3,2,1010,10215.0,0.099,0,2,1,63
718813833,0.029566683,Stable,Total_Ct_Chng_Q4_Q1,18,1052,2,2,0,10100.0,0.0,0,5,0,44
806624208,0.00077291747,Stable,Contacts_Count_12_mon,38,1045,0,0,1362,4785.0,0.285,0,1,1,47
778348233,0.035931848,Stable,Total_Ct_Chng_Q4_Q1,25,1038,2,3,1811,2753.0,0.658,0,3,1,53
712991808,0.0017213802,Stable,Total_Amt_Chng_Q4_Q1,26,1596,5,1,1690,2451.0,0.69,0,2,1,53
709029408,0.0005920037,Stable,Total_Amt_Chng_Q4_Q1,24,1589,1,2,2517,8923.0,0.282,0,2,1,41
788658483,0.00033809562,Stable,Total_Amt_Chng_Q4_Q1,28,1411,2,3,1490,2650.0,0.562,0,4,0,53
787937058,0.001561,Stable,Total_Trans_Amt,24,1291,2,2,1696,12555.0,0.135,0,3,1,58
715318008,0.04942982,Stable,Total_Trans_Amt,43,1407,2,1,1914,3520.0,0.544,0,4,0,55
713962233,0.00036763458,Stable,Total_Amt_Chng_Q4_Q1,37,1877,2,3,2298,3035.0,0.757,0,4,0,55
785432733,0.5672306,Watch,Total_Ct_Chng_Q4_Q1,22,966,3,3,0,15433.0,0.0,1,4,0,42
715190283,0.013492899,Stable,Total_Trans_Amt,28,1464,3,2,886,3672.0,0.241,0,1,0,57
708300483,0.98341656,Critical,Total_Trans_Ct,16,704,4,3,605,7882.0,0.077,0,5,0,66
827111283,0.99396425,Critical,Total_Trans_Ct,28,1109,2,2,578,32426.0,0.018,0,3,1,45
758551608,0.0020435543,Stable,Total_Trans_Amt,28,1347,1,0,2204,6205.0,0.355,0,1,1,51
773146383,0.008040235,Stable,Total_Amt_Chng_Q4_Q1,33,1756,2,3,2517,17304.0,0.145,3,1,0,50
778493808,0.0028246134,Stable,Total_Amt_Chng_Q4_Q1,32,1756,2,1,0,3906.0,0.0,0,2,1,49
720572508,0.19028632,Stable,Total_Relationship_Count,23,1042,3,3,2055,9830.0,0.209,0,5,0,38
712661433,0.0036194045,Stable,Total_Ct_Chng_Q4_Q1,28,1444,2,3,0,34516.0,0.0,0,3,1,49
789172683,0.00018128373,Stable,Total_Amt_Chng_Q4_Q1,27,1741,2,0,1430,2283.0,0.626,0,2,1,56
738406533,0.00023561473,Stable,Total_Amt_Chng_Q4_Q1,27,1719,2,2,2020,2548.0,0.793,0,1,1,59
799723908,0.011512326,Stable,Total_Trans_Amt,27,1217,3,3,1435,19458.0,0.074,0,3,1,46
771490833,0.0050358507,Stable,Total_Trans_Amt,40,1140,1,1,1227,4745.0,0.259,0,3,1,52
720756708,0.0007294001,Stable,Total_Amt_Chng_Q4_Q1,30,1878,3,2,1549,2622.0,0.591,0,4,0,52
779471883,0.9924459,Critical,Total_Trans_Amt,19,705,3,1,808,1438.3,0.562,0,4,0,54
711525033,0.0014048215,Stable,Total_Amt_Chng_Q4_Q1,38,1946,4,2,2179,3171.0,0.687,0,4,0,66
712813458,0.09602988,Stable,Total_Trans_Amt,35,1414,2,0,2517,19763.0,0.127,0,0,1,49
714374133,0.9994236,Critical,Total_Trans_Ct,15,602,3,3,0,15769.0,0.0,0,0,1,56
717891558,0.014647583,Stable,Total_Trans_Amt,32,1052,4,2,2200,3298.0,0.667,0,4,0,49
716632758,0.12707402,Stable,Contacts_Count_12_mon,40,1295,2,0,2363,2802.0,0.843,0,4,0,49
768563658,0.00042775454,Stable,Total_Trans_Amt,29,1424,2,3,1880,4458.0,0.422,0,1,1,56
711427458,0.0002889696,Stable,Total_Amt_Chng_Q4_Q1,25,1359,1,2,978,6273.0,0.156,0,5,0,44
714091983,0.007088712,Stable,Total_Trans_Amt,27,1168,4,3,1753,3336.0,0.525,0,2,1,42
787584108,0.0059882468,Stable,Total_Trans_Amt,33,1097,2,3,2016,3436.0,0.587,0,3,1,55
712030833,0.9981578,Critical,Total_Trans_Ct,15,691,4,4,0,34516.0,0.0,3,2,1,48
711481533,0.0026607749,Stable,Total_Trans_Amt,28,1316,3,3,1251,5926.0,0.211,0,2,1,39
710082708,0.23442453,Stable,Total_Trans_Amt,26,1276,4,2,2102,23957.0,0.088,0,0,1,44
708155733,0.004131093,Stable,Total_Trans_Amt,23,1289,2,2,1634,14734.0,0.111,0,0,1,53
788979258,0.0033053807,Stable,Total_Trans_Amt,32,1293,1,4,1515,34516.0,0.044,3,3,1,51
807986133,0.0036856898,Stable,Total_Trans_Amt,35,1353,3,3,1817,6584.0,0.276,0,2,1,57
788730933,0.025910426,Stable,Total_Relationship_Count,28,1132,3,3,1468,2084.0,0.704,0,4,0,44
711314058,0.0067978115,Stable,Total_Amt_Chng_Q4_Q1,17,1670,2,2,1107,1687.0,0.656,0,2,1,49
717975333,0.46085054,Watch,Total_Trans_Amt,15,837,2,2,1330,25300.0,0.053,0,3,1,50
715971108,0.002231821,Stable,Total_Amt_Chng_Q4_Q1,41,1550,2,3,1763,34516.0,0.051,0,0,1,51
720096558,0.056226704,Stable,Total_Trans_Amt,36,1540,3,3,1034,2216.0,0.467,0,4,0,55
719580033,0.017020313,Stable,Total_Trans_Amt,21,1256,2,3,2030,2910.0,0.698,0,2,1,54
820582308,0.023150364,Stable,Total_Trans_Amt,35,1394,2,2,1528,22913.0,0.067,0,3,1,42
789973308,0.0014568404,Stable,Total_Ct_Chng_Q4_Q1,24,1341,3,3,1932,24312.0,0.079,0,2,1,44
712876233,0.010743506,Stable,Total_Trans_Amt,33,1289,3,2,1515,5272.0,0.287,0,3,1,53
804595158,0.024747869,Stable,Total_Ct_Chng_Q4_Q1,23,1112,4,2,2517,7000.0,0.36,0,4,0,44
714826758,0.026009496,Stable,Total_Revolving_Bal,57,2339,4,2,1801,7038.0,0.256,0,4,0,37
779058108,0.0032040789,Stable,Total_Trans_Amt,23,1468,1,2,1823,2536.0,0.719,0,2,1,49
710790258,0.035103913,Stable,Total_Trans_Amt,35,1334,3,2,1899,28904.0,0.066,0,3,1,47
715623483,0.00019629061,Stable,Total_Trans_Amt,41,1457,4,0,1695,8567.0,0.198,0,2,1,47
715156383,0.011109606,Stable,Total_Trans_Amt,29,1603,2,2,1533,34516.0,0.044,0,0,1,44
711013983,0.9932214,Critical,Total_Trans_Ct,12,615,4,3,0,2158.0,0.0,0,1,0,55
755420433,0.66144574,Watch,Total_Relationship_Count,20,1068,3,3,1417,10133.0,0.14,0,5,0,59
794543958,0.0041965866,Stable,Total_Ct_Chng_Q4_Q1,27,1590,4,2,1219,34516.0,0.035,0,3,1,53
716396358,0.00075289316,Stable,Total_Trans_Amt,35,1531,3,0,1910,3085.0,0.619,0,2,1,52
715398033,0.015904816,Stable,Total_Trans_Amt,31,1212,2,1,2056,19040.0,0.108,0,0,1,53
711743883,0.25899124,Stable,Total_Trans_Amt,32,1237,2,3,0,4026.0,0.0,0,4,0,43
719720058,0.0007075436,Stable,Total_Trans_Amt,14,1413,3,1,837,12756.0,0.066,0,2,1,44
778992108,0.002590345,Stable,Total_Ct_Chng_Q4_Q1,29,1516,3,3,0,5266.0,0.0,0,0,1,57
717539808,0.08300879,Stable,Total_Trans_Amt,21,1276,2,2,0,9930.0,0.0,0,4,0,51
714070758,0.0005824685,Stable,Total_Trans_Amt,35,1564,3,0,1953,31302.0,0.062,0,3,1,49
714107958,0.49099135,Watch,Total_Trans_Amt,34,1465,4,3,0,6576.0,0.0,0,1,1,45
789140283,0.00066928,Stable,Total_Trans_Amt,29,1286,4,1,2037,2664.0,0.765,0,3,1,53
715550508,0.00045941342,Stable,Total_Amt_Chng_Q4_Q1,20,1312,1,2,2440,2535.0,0.963,0,5,0,45
719712633,0.0005633544,Stable,Total_Amt_Chng_Q4_Q1,32,1673,4,3,895,1709.0,0.524,0,4,1,64
772629333,0.027623855,Stable,Total_Trans_Amt,30,1313,4,2,1200,3454.0,0.347,0,1,1,45
720336708,0.0021373457,Stable,Total_Trans_Amt,42,1609,3,2,1706,3789.0,0.45,0,1,1,53
802013583,0.008295151,Stable,Total_Trans_Amt,19,1158,2,0,2250,9689.0,0.232,0,0,1,56
711887583,0.9959429,Critical,Total_Trans_Ct,18,836,3,3,1628,5449.0,0.299,0,3,1,47
714778833,0.0009841223,Stable,Total_Trans_Amt,22,1289,4,0,1960,23032.0,0.085,0,5,0,49
713843283,0.0032901808,Stable,Total_Trans_Amt,26,1487,3,3,2053,34516.0,0.059,3,5,0,41
779155158,0.003986005,Stable,Total_Trans_Amt,33,1259,2,2,1264,2940.0,0.43,0,0,1,53
721091583,0.013785702,Stable,Total_Trans_Amt,15,1298,3,3,1879,3031.0,0.62,0,4,0,44
713572683,0.047169346,Stable,Total_Trans_Amt,34,1226,3,0,0,1862.0,0.0,0,2,1,44
716657058,0.9295133,Critical,Total_Relationship_Count,37,1566,3,3,926,8358.0,0.111,0,4,0,43
779509983,0.08780337,Stable,Total_Relationship_Count,21,1022,1,2,931,34516.0,0.027,0,0,1,53
717929133,0.014811214,Stable,Total_Amt_Chng_Q4_Q1,30,1235,2,3,2440,14450.0,0.169,0,2,1,44
808284783,0.014797937,Stable,Total_Relationship_Count,44,1951,0,0,0,1438.3,0.0,0,4,0,62
708476808,0.005179519,Stable,Total_Relationship_Count,31,1047,3,2,1960,33791.0,0.058,0,0,1,54
710916408,0.004541522,Stable,Total_Trans_Amt,32,1342,3,0,1886,8466.0,0.223,0,2,1,57
708492558,0.011296826,Stable,Total_Ct_Chng_Q4_Q1,21,1107,3,3,865,15088.0,0.057,0,2,1,42
799825758,0.008772671,Stable,Total_Trans_Amt,35,1251,1,2,1674,3263.0,0.513,0,2,1,42
718619883,0.0071975007,Stable,Total_Amt_Chng_Q4_Q1,24,1305,2,2,706,1494.0,0.473,0,4,0,54
711844758,0.00013303585,Stable,Total_Trans_Amt,37,1388,1,0,1294,13551.0,0.095,0,3,1,48
714798783,0.00055289955,Stable,Total_Trans_Amt,18,1235,2,2,895,18886.0,0.047,0,3,1,49
826762908,0.007468564,Stable,Total_Ct_Chng_Q4_Q1,36,2089,2,0,1273,11976.0,0.106,0,3,1,52
771894558,0.0011010896,Stable,Total_Amt_Chng_Q4_Q1,25,1626,1,4,1559,9964.0,0.156,0,3,1,50
721074183,0.027679328,Stable,Total_Ct_Chng_Q4_Q1,24,1111,6,3,1196,24159.0,0.05,0,2,1,49
715259583,0.010597109,Stable,Total_Trans_Amt,38,1553,2,3,1901,5362.0,0.355,0,4,0,53
718414008,0.250805,Stable,Total_Trans_Ct,13,1064,2,2,1023,34516.0,0.03,0,0,1,50
719666283,0.0020418842,Stable,Total_Trans_Amt,29,1243,1,0,1951,3174.0,0.615,0,4,0,55
714877233,0.0009866107,Stable,Total_Amt_Chng_Q4_Q1,38,1659,2,2,1836,12262.0,0.15,0,3,1,53
785387883,0.14242622,Stable,Total_Trans_Amt,47,1594,3,3,1540,3788.0,0.407,0,1,0,47
771075258,0.6761445,Watch,Total_Relationship_Count,42,1268,3,2,1527,34516.0,0.044,3,0,1,55
711318033,0.066969365,Stable,Total_Trans_Amt,24,1304,2,2,0,2926.0,0.0,0,2,1,47
783554958,0.0060909884,Stable,Total_Trans_Amt,30,1368,1,0,0,32090.0,0.0,0,0,1,58
720201033,0.9841866,Critical,Total_Trans_Ct,23,720,3,2,2227,11669.0,0.191,0,3,1,53
718039683,0.008590901,Stable,Total_Trans_Amt,29,1521,1,2,1300,13532.0,0.096,0,1,1,52
710806083,0.004645386,Stable,Total_Trans_Amt,30,1137,2,2,2090,11888.0,0.176,3,4,0,50
714752208,0.16778438,Stable,Total_Trans_Ct,16,978,1,2,1985,2393.0,0.83,0,4,0,42
822063408,0.0042137927,Stable,Total_Trans_Amt,16,1221,1,2,2517,6111.0,0.412,0,1,1,43
714490308,0.00086314586,Stable,Total_Amt_Chng_Q4_Q1,28,1565,2,3,1662,19270.0,0.086,0,3,1,57
713356833,0.00920964,Stable,Total_Amt_Chng_Q4_Q1,34,1578,1,4,2517,3710.0,0.678,0,3,1,52
711402333,0.4828764,Watch,Total_Relationship_Count,32,1493,1,3,797,3235.0,0.246,0,4,1,47
708296883,0.013586354,Stable,Contacts_Count_12_mon,27,1178,1,0,788,11749.0,0.067,0,1,0,44
719154483,0.12138786,Stable,Total_Trans_Ct,26,991,3,2,2100,7753.0,0.271,0,2,1,53
717721458,0.00057746837,Stable,Total_Amt_Chng_Q4_Q1,42,2560,1,0,1186,10408.0,0.114,0,2,1,45
711112683,0.00019617312,Stable,Total_Amt_Chng_Q4_Q1,29,1657,2,3,1568,3967.0,0.395,0,5,0,63
715674483,0.04375092,Stable,Total_Trans_Amt,19,1204,2,2,2517,6205.0,0.406,0,4,0,39
789322833,0.9905222,Critical,Total_Trans_Amt,18,673,3,3,0,8025.0,0.0,0,4,0,48
789968058,0.029967483,Stable,Total_Trans_Amt,18,1131,2,3,2327,9036.0,0.258,0,0,1,51
709919283,0.0052066804,Stable,Total_Amt_Chng_Q4_Q1,25,1576,3,2,2517,14926.0,0.169,0,3,1,54
718744008,0.04813369,Stable,Total_Trans_Amt,20,1217,2,3,1128,6335.0,0.178,0,4,0,59
767712558,0.9943909,Critical,Total_Trans_Amt,10,530,3,3,0,14979.0,0.0,0,2,1,59
712950783,0.99608105,Critical,Total_Trans_Ct,16,739,2,3,0,2732.0,0.0,0,4,0,48
716104983,0.0012460117,Stable,Total_Amt_Chng_Q4_Q1,31,1617,3,2,2117,2250.0,0.941,0,4,0,41
818839983,0.0007429821,Stable,Total_Amt_Chng_Q4_Q1,34,1592,2,0,1536,10916.0,0.141,0,0,1,55
772288758,0.0014078477,Stable,Total_Trans_Amt,30,1343,1,3,1228,5349.0,0.23,0,5,0,47
712350858,0.028123433,Stable,Total_Trans_Amt,39,1303,1,3,1104,9366.0,0.118,0,3,1,41
711009708,0.026538175,Stable,Total_Trans_Amt,22,1351,1,0,0,21617.0,0.0,0,3,1,40
712720158,0.00078401685,Stable,Total_Amt_Chng_Q4_Q1,32,1910,2,3,1652,13860.0,0.119,0,5,1,68
712215258,0.78721535,Watch,Total_Trans_Amt,22,1298,2,3,0,18386.0,0.0,3,1,0,50
773827008,0.00087490183,Stable,Total_Trans_Amt,29,1087,2,2,1540,2405.0,0.64,0,2,1,47
795232683,0.0007650586,Stable,Total_Amt_Chng_Q4_Q1,26,1439,2,3,930,2154.0,0.432,0,4,0,53
713786508,0.3036106,Stable,Total_Trans_Amt,28,1238,3,3,0,2038.0,0.0,0,1,0,42
713539833,0.0030322513,Stable,Total_Amt_Chng_Q4_Q1,29,1716,1,3,0,8135.0,0.0,0,1,0,48
712454058,0.06273691,Stable,Total_Relationship_Count,27,1099,1,3,618,9364.0,0.066,0,0,1,49
718759833,0.004193543,Stable,Total_Ct_Chng_Q4_Q1,24,1058,3,2,0,32643.0,0.0,3,5,0,44
718803333,0.37608323,Stable,Total_Relationship_Count,29,1285,3,1,1954,3195.0,0.612,0,4,0,43
720253908,0.0011050344,Stable,Total_Trans_Amt,28,1651,2,1,1024,2852.0,0.359,0,3,1,56
714133158,0.3627357,Stable,Total_Relationship_Count,31,1152,3,3,1305,4224.0,0.309,0,5,0,59
713187033,0.0021395842,Stable,Total_Amt_Chng_Q4_Q1,38,1767,2,2,2071,20459.0,0.101,0,2,1,46
714791208,0.04397216,Stable,Total_Relationship_Count,24,1039,5,3,2114,3482.0,0.607,0,4,0,47
772426383,0.0011594561,Stable,Total_Ct_Chng_Q4_Q1,28,1130,2,3,1570,3065.0,0.512,0,1,0,50
710975883,0.23033072,Stable,Total_Trans_Ct,30,1645,1,2,1761,2185.0,0.806,0,4,0,51
714264408,0.004582187,Stable,Total_Trans_Amt,29,1413,1,0,746,1611.0,0.463,0,4,0,47
715827858,0.00028356173,Stable,Total_Amt_Chng_Q4_Q1,23,1218,3,3,2173,2822.0,0.77,0,4,0,58
713741358,0.94156766,Critical,Total_Trans_Amt,17,597,3,3,2517,32975.0,0.076,0,3,1,46
709531908,0.30948168,Stable,Gender,53,2184,2,2,0,1438.3,0.0,0,2,1,53
716493408,0.0021488809,Stable,Total_Trans_Amt,37,1592,3,3,1719,15875.0,0.108,0,5,0,45
714141108,0.006700092,Stable,Total_Trans_Amt,28,1388,3,3,893,6703.0,0.133,0,4,0,52
708953883,0.99805355,Critical,Total_Trans_Ct,20,757,2,1,0,3212.0,0.0,0,3,1,53
712608783,0.025958948,Stable,Total_Trans_Amt,34,1504,1,3,1260,34516.0,0.037,3,3,1,50
820353558,0.103896394,Stable,Total_Trans_Amt,34,1503,1,2,1434,9797.0,0.146,0,1,0,41
714964758,0.02233579,Stable,Total_Trans_Amt,28,1105,2,2,1777,10400.0,0.171,0,1,0,45
716264358,0.023066768,Stable,Total_Amt_Chng_Q4_Q1,47,2398,1,2,1836,26792.0,0.069,0,3,1,53
717296808,0.00070326903,Stable,Total_Amt_Chng_Q4_Q1,32,1661,3,2,2517,3006.0,0.837,0,4,0,67
712977183,0.00043908527,Stable,Total_Trans_Amt,22,1421,3,0,1072,19482.0,0.055,3,1,0,57
710829108,0.10211439,Stable,Total_Trans_Ct,28,999,2,3,985,3356.0,0.294,0,1,0,59
779562633,0.001919559,Stable,Total_Amt_Chng_Q4_Q1,18,1387,2,1,2248,5771.0,0.39,0,1,1,45
715315833,0.0025408922,Stable,Total_Trans_Amt,24,1243,2,3,2107,11106.0,0.19,0,3,1,51
815500983,0.00016025706,Stable,Total_Amt_Chng_Q4_Q1,36,1860,3,0,2001,2890.0,0.692,0,4,0,59
719360583,0.00047596748,Stable,Total_Trans_Amt,25,1502,2,2,1701,3380.0,0.503,0,2,1,53
709701558,0.03631318,Stable,Total_Relationship_Count,50,1460,1,2,1251,21331.0,0.059,0,2,1,47
721148358,0.07227682,Stable,Total_Trans_Amt,27,1348,2,1,0,12860.0,0.0,0,5,0,49
779862408,0.012038633,Stable,Contacts_Count_12_mon,33,1087,1,0,462,6278.0,0.074,0,3,1,49
812627208,0.010883144,Stable,Total_Trans_Amt,33,1226,1,3,738,1438.3,0.513,0,4,0,60
711033408,0.0066212146,Stable,Total_Trans_Amt,28,1230,1,2,1626,9355.0,0.174,0,4,0,50
779956608,0.028053537,Stable,Total_Trans_Amt,32,1555,1,3,0,20758.0,0.0,0,5,0,41
780376683,0.000944037,Stable,Total_Amt_Chng_Q4_Q1,24,1827,3,1,1976,14612.0,0.135,0,3,1,57
717912483,0.013868962,Stable,Total_Trans_Amt,35,1376,2,0,0,27259.0,0.0,0,3,1,43
714454758,0.0077137332,Stable,Total_Trans_Amt,37,1771,2,3,1594,6347.0,0.251,0,4,0,57
780466533,0.004535324,Stable,Total_Amt_Chng_Q4_Q1,52,1873,3,0,1676,21592.0,0.078,0,0,1,54
715735233,0.0046397643,Stable,Total_Trans_Amt,42,1679,1,1,1598,3449.0,0.463,0,4,0,51
720476733,0.9357329,Critical,Total_Relationship_Count,22,1002,1,2,799,6028.0,0.133,0,4,0,47
715872333,0.0057537863,Stable,Total_Trans_Amt,21,1344,2,3,1998,18214.0,0.11,0,0,1,41
712375758,0.0013518545,Stable,Total_Amt_Chng_Q4_Q1,42,1461,3,1,1423,16393.0,0.087,0,3,1,53
708868233,0.9928558,Critical,Total_Trans_Amt,21,760,3,2,900,1438.3,0.626,0,4,1,68
718030083,0.00029777756,Stable,Total_Amt_Chng_Q4_Q1,22,1428,1,2,1687,7871.0,0.214,0,2,1,59
720707283,0.0013779248,Stable,Total_Trans_Amt,42,1777,3,0,866,5288.0,0.164,0,3,1,48
771698658,0.007895304,Stable,Total_Trans_Amt,27,1302,5,3,2006,11376.0,0.176,0,2,1,44
748326258,0.029750222,Stable,Total_Amt_Chng_Q4_Q1,41,1483,5,3,1632,12302.0,0.133,0,3,1,48
770817783,0.08301529,Stable,Total_Trans_Ct,27,1060,2,1,1679,34516.0,0.049,3,2,1,47
779353083,0.016518088,Stable,Total_Trans_Amt,32,1330,2,2,1468,34516.0,0.043,3,2,1,47
711441333,0.034279596,Stable,Total_Trans_Amt,27,1229,2,2,1580,10514.0,0.15,3,4,0,43
719808558,0.9992229,Critical,Total_Trans_Ct,27,886,4,3,0,1438.3,0.0,0,4,0,55
711551958,0.993619,Critical,Total_Trans_Amt,24,844,3,3,0,1438.3,0.0,0,2,1,59
809164083,0.0021385655,Stable,Total_Amt_Chng_Q4_Q1,37,1450,1,2,1779,2619.0,0.679,0,1,1,63
820596183,0.07799777,Stable,Contacts_Count_12_mon,48,2311,3,0,2395,24407.0,0.098,0,0,1,58
715999608,0.0010295042,Stable,Total_Trans_Amt,26,1378,1,2,1649,2377.0,0.694,0,4,0,53
710565408,0.011282078,Stable,Total_Ct_Chng_Q4_Q1,26,1033,2,3,1359,34516.0,0.039,3,3,1,59
805543158,0.0070082303,Stable,Total_Trans_Amt,40,1523,3,3,2207,11086.0,0.199,0,0,1,52
709752183,0.074466996,Stable,Total_Trans_Amt,37,1374,2,2,2517,11432.0,0.22,0,2,1,48
716479233,0.0069728564,Stable,Total_Ct_Chng_Q4_Q1,21,1080,3,2,1721,13258.0,0.13,0,1,1,43
713837058,0.010230011,Stable,Total_Trans_Amt,24,1234,2,3,1955,2571.0,0.76,0,4,1,48
718876683,0.015500446,Stable,Total_Trans_Amt,32,1600,2,0,1168,5781.0,0.202,0,4,0,43
770746908,0.012217976,Stable,Total_Trans_Amt,32,1155,1,2,2509,7872.0,0.319,0,2,1,44
794843883,0.022500735,Stable,Total_Trans_Amt,33,1353,1,2,1202,34516.0,0.035,0,3,1,41
803043933,0.00035532986,Stable,Total_Amt_Chng_Q4_Q1,25,1546,1,3,1835,11127.0,0.165,3,4,0,44
758076408,0.094069615,Stable,Total_Relationship_Count,43,1590,1,3,1603,1857.0,0.863,0,1,1,50
714606558,0.0001975891,Stable,Total_Trans_Amt,22,1448,1,0,1272,1913.0,0.665,0,4,0,60
778425408,0.0028027722,Stable,Total_Trans_Amt,24,1271,3,0,2295,3839.0,0.598,0,3,1,44
714171108,0.018862477,Stable,Total_Trans_Amt,20,1223,2,3,1141,2115.0,0.539,0,1,0,48
719662458,0.042082008,Stable,Total_Ct_Chng_Q4_Q1,29,1117,2,2,679,1438.3,0.472,0,4,0,44
713137233,0.010132339,Stable,Contacts_Count_12_mon,24,994,3,0,1789,27756.0,0.064,0,3,1,41
769425858,0.028496372,Stable,Total_Trans_Amt,26,1468,1,2,0,1438.3,0.0,0,2,1,45
711297483,0.027581804,Stable,Total_Trans_Amt,38,1658,4,2,2222,13878.0,0.16,3,4,0,47
788900883,0.079196975,Stable,Total_Trans_Amt,38,1368,1,3,1304,3106.0,0.42,0,4,0,51
758348808,0.018559953,Stable,Total_Trans_Amt,18,1218,3,3,1666,34516.0,0.048,0,0,1,51
772336458,0.9242984,Critical,Total_Trans_Amt,12,702,4,3,1025,1438.3,0.713,0,1,0,60
708711483,0.0014150087,Stable,Total_Ct_Chng_Q4_Q1,21,1516,3,0,1740,18871.0,0.092,0,3,1,57
717906783,0.00053653994,Stable,Total_Trans_Amt,26,1310,2,2,1748,5207.0,0.336,0,0,1,41
719437908,0.0031413632,Stable,Total_Trans_Amt,50,1767,2,2,1644,17965.0,0.092,0,3,1,44
769433508,0.038809583,Stable,Total_Relationship_Count,25,933,3,3,1819,2733.0,0.666,0,2,1,43
790096533,0.0005039174,Stable,Total_Trans_Amt,27,1512,3,2,1301,8863.0,0.147,0,2,1,55
720997383,0.99652135,Critical,Total_Trans_Amt,17,829,3,3,1833,1857.0,0.987,0,3,1,52
787541883,0.45176843,Watch,Total_Trans_Ct,27,1120,3,3,0,34516.0,0.0,0,3,1,44
709930758,0.017466217,Stable,Total_Trans_Amt,33,1506,3,3,1222,11107.0,0.11,0,1,1,41
789830058,0.00065911066,Stable,Total_Trans_Amt,36,1384,1,2,1585,21573.0,0.073,0,3,1,44
710299608,0.99646425,Critical,Total_Trans_Ct,30,817,3,3,2517,2859.0,0.88,0,4,0,53
710741208,0.008059875,Stable,Total_Amt_Chng_Q4_Q1,25,2094,2,2,1475,5269.0,0.28,0,3,1,39
821797008,0.99218106,Critical,Total_Trans_Amt,21,815,2,3,0,1438.3,0.0,0,1,1,49
